[INFO] [1729174421.341131]: Waiting for sensor data...
[INFO] [1729174421.443595]: Calculated Dynamic CoM: x=5.09295707176, y=-0.987625606921, z=25.6044681209
[INFO] [1729174421.443835]: Projected CoM on the ground: x=5.09295707176, y=-0.987625606921, z=0
[INFO] [1729174421.443962]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174421.444073]: Calculated Dynamic ZMP: x=10.1065717041, y=-0.978781286818
[INFO] [1729174421.444168]: Calculated ZMP: x=10.1065717041, y=-0.978781286818
[INFO] [1729174421.541781]: Calculated Dynamic CoM: x=3.89706466716, y=-1.14249402452, z=25.8032581129
[INFO] [1729174421.542428]: Projected CoM on the ground: x=3.89706466716, y=-1.14249402452, z=0
[INFO] [1729174421.542676]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174421.542937]: Calculated Dynamic ZMP: x=7.86925020541, y=-2.05750036099
[INFO] [1729174421.543201]: Calculated ZMP: x=7.86925020541, y=-2.05750036099
[INFO] [1729174421.642214]: Calculated Dynamic CoM: x=2.57019784756, y=-1.05551622508, z=25.9679309631
[INFO] [1729174421.642616]: Projected CoM on the ground: x=2.57019784756, y=-1.05551622508, z=0
[INFO] [1729174421.644528]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174421.645116]: Calculated Dynamic ZMP: x=5.21479818527, y=-1.58883275991
[INFO] [1729174421.645380]: Calculated ZMP: x=5.21479818527, y=-1.58883275991
[INFO] [1729174421.741372]: Calculated Dynamic CoM: x=2.51824898019, y=-1.0174969723, z=25.970060058
[INFO] [1729174421.741633]: Projected CoM on the ground: x=2.51824898019, y=-1.0174969723, z=0
[INFO] [1729174421.741858]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174421.742019]: Calculated Dynamic ZMP: x=5.10186827852, y=-1.17699876526
[INFO] [1729174421.742161]: Calculated ZMP: x=5.10186827852, y=-1.17699876526
[INFO] [1729174421.841406]: Calculated Dynamic CoM: x=2.62495389443, y=-1.04460990379, z=25.9539430955
[INFO] [1729174421.841657]: Projected CoM on the ground: x=2.62495389443, y=-1.04460990379, z=0
[INFO] [1729174421.841840]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174421.841989]: Calculated Dynamic ZMP: x=5.31878923327, y=-1.46085788758
[INFO] [1729174421.842128]: Calculated ZMP: x=5.31878923327, y=-1.46085788758
[INFO] [1729174421.941360]: Calculated Dynamic CoM: x=2.78227102858, y=-1.08527251582, z=25.9332882758
[INFO] [1729174421.941596]: Projected CoM on the ground: x=2.78227102858, y=-1.08527251582, z=0
[INFO] [1729174421.941769]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174421.942041]: Calculated Dynamic ZMP: x=5.65837399413, y=-1.8522182604
[INFO] [1729174421.942193]: Calculated ZMP: x=5.65837399413, y=-1.8522182604
[INFO] [1729174422.041434]: Calculated Dynamic CoM: x=2.74465403844, y=-1.06701473139, z=25.9375552201
[INFO] [1729174422.041771]: Projected CoM on the ground: x=2.74465403844, y=-1.06701473139, z=0
[INFO] [1729174422.042397]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174422.042544]: Calculated Dynamic ZMP: x=5.57961132505, y=-1.67575116352
[INFO] [1729174422.042671]: Calculated ZMP: x=5.57961132505, y=-1.67575116352
[INFO] [1729174422.141311]: Calculated Dynamic CoM: x=2.46519871824, y=-1.05741754739, z=25.9677154143
[INFO] [1729174422.141588]: Projected CoM on the ground: x=2.46519871824, y=-1.05741754739, z=0
[INFO] [1729174422.141771]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729174422.141957]: Calculated Dynamic ZMP: x=5.02142274218, y=-1.63592898731
[INFO] [1729174422.142090]: Calculated ZMP: x=5.02142274218, y=-1.63592898731
