[INFO] [1729576386.517209]: Waiting for sensor data...
[INFO] [1729576386.617573]: Calculated Dynamic CoM: x=1.9333196036, y=-1.20369084937, z=25.8671640933
[INFO] [1729576386.617802]: Projected CoM on the ground: x=1.9333196036, y=-1.20369084937, z=0
[INFO] [1729576386.617933]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576386.618031]: Calculated Dynamic ZMP: x=4.11975327081, y=-3.89000299505
[INFO] [1729576386.618226]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576386.717540]: Calculated Dynamic CoM: x=3.2254268502, y=-0.846827730698, z=25.7719621179
[INFO] [1729576386.717846]: Projected CoM on the ground: x=3.2254268502, y=-0.846827730698, z=0
[INFO] [1729576386.718014]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576386.718152]: Calculated Dynamic ZMP: x=6.26995456568, y=0.315106568748
[INFO] [1729576386.718414]: Support Phase: Single Support, Area: 112.155, Perimeter: 33.6502654007
[INFO] [1729576386.817522]: Calculated Dynamic CoM: x=-0.289052808943, y=-1.18254378791, z=25.9553901853
[INFO] [1729576386.817854]: Projected CoM on the ground: x=-0.289052808943, y=-1.18254378791, z=0
[INFO] [1729576386.818021]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576386.818165]: Calculated Dynamic ZMP: x=-1.13315423546, y=11.6980539235
[INFO] [1729576386.818391]: Support Phase: Single Support, Area: 112.155, Perimeter: 33.6502654007
[INFO] [1729576386.917463]: Calculated Dynamic CoM: x=3.4428591626, y=-0.262451660275, z=25.7716903981
[INFO] [1729576386.917775]: Projected CoM on the ground: x=3.4428591626, y=-0.262451660275, z=0
[INFO] [1729576386.917970]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576386.918105]: Calculated Dynamic ZMP: x=7.22505773127, y=5.96467888567
[INFO] [1729576386.918316]: Support Phase: Single Support, Area: 112.155, Perimeter: 33.6502654007
[INFO] [1729576387.017508]: Calculated Dynamic CoM: x=1.21143384429, y=-0.82446057602, z=25.9446078441
[INFO] [1729576387.017774]: Projected CoM on the ground: x=1.21143384429, y=-0.82446057602, z=0
[INFO] [1729576387.017943]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576387.018084]: Calculated Dynamic ZMP: x=2.27269089954, y=2.86221556882
[INFO] [1729576387.018299]: Support Phase: Single Support, Area: 112.155, Perimeter: 33.6502654007
[INFO] [1729576387.117454]: Calculated Dynamic CoM: x=-2.01325089567, y=-0.689087372663, z=25.9229817587
[INFO] [1729576387.117771]: Projected CoM on the ground: x=-2.01325089567, y=-0.689087372663, z=0
[INFO] [1729576387.117988]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576387.118178]: Calculated Dynamic ZMP: x=-4.28494780007, y=-5.93940746615
[INFO] [1729576387.118471]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576387.217530]: Calculated Dynamic CoM: x=-2.23081807482, y=-0.610473082418, z=25.9015822704
[INFO] [1729576387.217816]: Projected CoM on the ground: x=-2.23081807482, y=-0.610473082418, z=0
[INFO] [1729576387.217989]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576387.218134]: Calculated Dynamic ZMP: x=-3.96843522026, y=-4.66104231123
[INFO] [1729576387.218405]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576387.317484]: Calculated Dynamic CoM: x=1.88937073527, y=-1.13303350295, z=25.9159583632
[INFO] [1729576387.317735]: Projected CoM on the ground: x=1.88937073527, y=-1.13303350295, z=0
[INFO] [1729576387.317898]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576387.318047]: Calculated Dynamic ZMP: x=3.81996569216, y=-2.79565499855
[INFO] [1729576387.318263]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576387.417474]: Calculated Dynamic CoM: x=-3.42757791937, y=-1.30606762897, z=25.7167670236
[INFO] [1729576387.417790]: Projected CoM on the ground: x=-3.42757791937, y=-1.30606762897, z=0
[INFO] [1729576387.418061]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576387.418255]: Calculated Dynamic ZMP: x=-7.83071917027, y=1.56579181559
[INFO] [1729576387.418512]: Support Phase: Single Support, Area: 112.155, Perimeter: 33.6502654007
[INFO] [1729576387.517558]: Calculated Dynamic CoM: x=3.54741351951, y=-0.300159124028, z=25.7173114426
[INFO] [1729576387.517891]: Projected CoM on the ground: x=3.54741351951, y=-0.300159124028, z=0
[INFO] [1729576387.518098]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576387.518271]: Calculated Dynamic ZMP: x=6.69510128571, y=4.31153800357
[INFO] [1729576387.518614]: Support Phase: Single Support, Area: 112.155, Perimeter: 33.6502654007
[INFO] [1729576387.617583]: Calculated Dynamic CoM: x=3.57376599396, y=-0.57574017227, z=25.6772486448
[INFO] [1729576387.617910]: Projected CoM on the ground: x=3.57376599396, y=-0.57574017227, z=0
[INFO] [1729576387.618112]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576387.618354]: Calculated Dynamic ZMP: x=7.15639364108, y=2.53192855034
[INFO] [1729576387.618822]: Support Phase: Single Support, Area: 112.155, Perimeter: 33.6502654007
[INFO] [1729576387.717622]: Calculated Dynamic CoM: x=-3.45967089963, y=-0.33606910561, z=25.7210795507
[INFO] [1729576387.717931]: Projected CoM on the ground: x=-3.45967089963, y=-0.33606910561, z=0
[INFO] [1729576387.718125]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576387.718306]: Calculated Dynamic ZMP: x=-7.37356927029, y=-6.36874221515
[INFO] [1729576387.718578]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576387.817549]: Calculated Dynamic CoM: x=0.477926020034, y=-1.08678550372, z=25.9342275587
[INFO] [1729576387.817816]: Projected CoM on the ground: x=0.477926020034, y=-1.08678550372, z=0
[INFO] [1729576387.818060]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576387.818273]: Calculated Dynamic ZMP: x=1.11073273054, y=-4.52822100674
[INFO] [1729576387.818559]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576387.917591]: Calculated Dynamic CoM: x=4.99700984253, y=-1.17220703193, z=25.4923772768
[INFO] [1729576387.917924]: Projected CoM on the ground: x=4.99700984253, y=-1.17220703193, z=0
[INFO] [1729576387.918155]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576387.918333]: Calculated Dynamic ZMP: x=9.63897571926, y=-1.95702573228
[INFO] [1729576387.918597]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576388.017557]: Calculated Dynamic CoM: x=-2.55540861331, y=-0.825559565493, z=25.8647559156
[INFO] [1729576388.017856]: Projected CoM on the ground: x=-2.55540861331, y=-0.825559565493, z=0
[INFO] [1729576388.018041]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576388.018196]: Calculated Dynamic ZMP: x=-5.01937639346, y=-2.67390149431
[INFO] [1729576388.018546]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576388.117538]: Calculated Dynamic CoM: x=6.03440987204, y=0.112789213069, z=25.3097335246
[INFO] [1729576388.117833]: Projected CoM on the ground: x=6.03440987204, y=0.112789213069, z=0
[INFO] [1729576388.118077]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576388.118262]: Calculated Dynamic ZMP: x=10.9323279055, y=3.89873896248
[INFO] [1729576388.118579]: Support Phase: Single Support, Area: 112.155, Perimeter: 33.6502654007
[INFO] [1729576388.217634]: Calculated Dynamic CoM: x=4.81272738354, y=-0.212133630571, z=25.5557133247
[INFO] [1729576388.217985]: Projected CoM on the ground: x=4.81272738354, y=-0.212133630571, z=0
[INFO] [1729576388.218237]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576388.218480]: Calculated Dynamic ZMP: x=9.42296337287, y=3.83197271007
[INFO] [1729576388.218755]: Support Phase: Single Support, Area: 112.155, Perimeter: 33.6502654007
[INFO] [1729576388.317594]: Calculated Dynamic CoM: x=-1.2932019023, y=-0.807863992577, z=25.9554621765
[INFO] [1729576388.317951]: Projected CoM on the ground: x=-1.2932019023, y=-0.807863992577, z=0
[INFO] [1729576388.318212]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576388.318582]: Calculated Dynamic ZMP: x=-2.59093774905, y=-5.80396993853
[INFO] [1729576388.318911]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576388.417515]: Calculated Dynamic CoM: x=4.03175893199, y=-1.79251300596, z=25.5887996015
[INFO] [1729576388.417788]: Projected CoM on the ground: x=4.03175893199, y=-1.79251300596, z=0
[INFO] [1729576388.417970]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576388.418132]: Calculated Dynamic ZMP: x=8.35584250446, y=-6.54284012487
[INFO] [1729576388.418405]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576388.517518]: Calculated Dynamic CoM: x=4.00093027147, y=-1.23521892887, z=25.627812604
[INFO] [1729576388.517769]: Projected CoM on the ground: x=4.00093027147, y=-1.23521892887, z=0
[INFO] [1729576388.517924]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576388.518062]: Calculated Dynamic ZMP: x=7.3611484571, y=-2.43441543461
[INFO] [1729576388.518323]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576388.617574]: Calculated Dynamic CoM: x=-1.79299614515, y=-0.989338527562, z=25.8617495586
[INFO] [1729576388.617875]: Projected CoM on the ground: x=-1.79299614515, y=-0.989338527562, z=0
[INFO] [1729576388.618067]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576388.618248]: Calculated Dynamic ZMP: x=-3.45108535771, y=-1.16567131574
[INFO] [1729576388.618606]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576388.717563]: Calculated Dynamic CoM: x=2.32657613589, y=-0.751701151383, z=25.832925826
[INFO] [1729576388.717861]: Projected CoM on the ground: x=2.32657613589, y=-0.751701151383, z=0
[INFO] [1729576388.718049]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576388.718216]: Calculated Dynamic ZMP: x=4.39660053997, y=1.77583659959
[INFO] [1729576388.718770]: Support Phase: Single Support, Area: 112.155, Perimeter: 33.6502654007
[INFO] [1729576388.817582]: Calculated Dynamic CoM: x=5.8317384818, y=-0.31905302023, z=25.2959911266
[INFO] [1729576388.817984]: Projected CoM on the ground: x=5.8317384818, y=-0.31905302023, z=0
[INFO] [1729576388.818198]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576388.818390]: Calculated Dynamic ZMP: x=11.3485757942, y=2.4879146544
[INFO] [1729576388.818688]: Support Phase: Single Support, Area: 112.155, Perimeter: 33.6502654007
[INFO] [1729576388.917466]: Calculated Dynamic CoM: x=-1.99151614087, y=-0.924820799638, z=25.8950904965
[INFO] [1729576388.917805]: Projected CoM on the ground: x=-1.99151614087, y=-0.924820799638, z=0
[INFO] [1729576388.918008]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576388.918180]: Calculated Dynamic ZMP: x=-4.26639237004, y=-2.15553648579
[INFO] [1729576388.918459]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576389.017548]: Calculated Dynamic CoM: x=4.01871895107, y=-1.56948754804, z=25.6572638803
[INFO] [1729576389.017840]: Projected CoM on the ground: x=4.01871895107, y=-1.56948754804, z=0
[INFO] [1729576389.017990]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576389.018115]: Calculated Dynamic ZMP: x=8.00916907205, y=-4.85783378486
[INFO] [1729576389.018324]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576389.117545]: Calculated Dynamic CoM: x=5.03026485247, y=-1.29430742485, z=25.5174467174
[INFO] [1729576389.117923]: Projected CoM on the ground: x=5.03026485247, y=-1.29430742485, z=0
[INFO] [1729576389.118158]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576389.118366]: Calculated Dynamic ZMP: x=9.40715885024, y=-2.53800467579
[INFO] [1729576389.118707]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576389.217590]: Calculated Dynamic CoM: x=-0.967977795518, y=-0.930643387359, z=25.9849360851
[INFO] [1729576389.217902]: Projected CoM on the ground: x=-0.967977795518, y=-0.930643387359, z=0
[INFO] [1729576389.218097]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576389.218292]: Calculated Dynamic ZMP: x=-1.77325876188, y=-2.90666876326
[INFO] [1729576389.218711]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576389.317453]: Calculated Dynamic CoM: x=0.489181837507, y=-0.98876933638, z=25.9864953239
[INFO] [1729576389.317759]: Projected CoM on the ground: x=0.489181837507, y=-0.98876933638, z=0
[INFO] [1729576389.317949]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576389.318153]: Calculated Dynamic ZMP: x=1.00889425442, y=-0.309659954657
[INFO] [1729576389.318440]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576389.417552]: Calculated Dynamic CoM: x=7.03410199863, y=-0.522766074213, z=25.0195413254
[INFO] [1729576389.418004]: Projected CoM on the ground: x=7.03410199863, y=-0.522766074213, z=0
[INFO] [1729576389.418184]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576389.418331]: Calculated Dynamic ZMP: x=15.1280655882, y=1.43367638241
[INFO] [1729576389.418578]: Support Phase: Single Support, Area: 112.155, Perimeter: 33.6502654007
[INFO] [1729576389.517548]: Calculated Dynamic CoM: x=-1.21620133309, y=-0.99412453312, z=25.9347712523
[INFO] [1729576389.517801]: Projected CoM on the ground: x=-1.21620133309, y=-0.99412453312, z=0
[INFO] [1729576389.517959]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576389.518098]: Calculated Dynamic ZMP: x=-2.50148122516, y=-1.18297577901
[INFO] [1729576389.518319]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576389.617659]: Calculated Dynamic CoM: x=5.3973188211, y=-1.47839771048, z=25.354760537
[INFO] [1729576389.618087]: Projected CoM on the ground: x=5.3973188211, y=-1.47839771048, z=0
[INFO] [1729576389.618317]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576389.618523]: Calculated Dynamic ZMP: x=11.248756041, y=-3.79331965619
[INFO] [1729576389.618909]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576389.717600]: Calculated Dynamic CoM: x=5.32695982682, y=-1.41575361797, z=25.3524690911
[INFO] [1729576389.718037]: Projected CoM on the ground: x=5.32695982682, y=-1.41575361797, z=0
[INFO] [1729576389.718323]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576389.718652]: Calculated Dynamic ZMP: x=10.3803122361, y=-3.20535061432
[INFO] [1729576389.719008]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576389.817580]: Calculated Dynamic CoM: x=-5.1763364154, y=-0.159336861062, z=25.4213657712
[INFO] [1729576389.817996]: Projected CoM on the ground: x=-5.1763364154, y=-0.159336861062, z=0
[INFO] [1729576389.818255]: Calculated Moments: Mx=0.75463425, My=1.5092685
[INFO] [1729576389.818447]: Calculated Dynamic ZMP: x=-8.8352892254, y=-3.19911183601
[INFO] [1729576389.818733]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729576389.917570]: Calculated Dynamic CoM: x=0.512532391884, y=-0.950981082484, z=25.939010818
