[INFO] [1729841850.249277]: Waiting for sensor data...
[INFO] [1729841850.351661]: Calculated Dynamic CoM: x=11.2952905123, y=-2.26934309342, z=40.5674155334
[INFO] [1729841850.351846]: Projected CoM on the ground: x=11.2952905123, y=-2.26934309342, z=0
[INFO] [1729841850.351986]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841850.352105]: Calculated Dynamic ZMP: x=52.0468377155, y=-5.22684163762
[INFO] [1729841850.352267]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841850.450190]: Calculated Dynamic CoM: x=-2.35108093993, y=-1.86644814844, z=42.0841716254
[INFO] [1729841850.450543]: Projected CoM on the ground: x=-2.35108093993, y=-1.86644814844, z=0
[INFO] [1729841850.450657]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841850.450799]: Calculated Dynamic ZMP: x=-48.8850463068, y=-32.0620377042
[INFO] [1729841850.451013]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841850.550187]: Calculated Dynamic CoM: x=9.64562822231, y=-2.95223805101, z=40.9616460217
[INFO] [1729841850.550475]: Projected CoM on the ground: x=9.64562822231, y=-2.95223805101, z=0
[INFO] [1729841850.550750]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841850.550940]: Calculated Dynamic ZMP: x=37.6455780791, y=-23.3224666044
[INFO] [1729841850.551198]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841850.650487]: Calculated Dynamic CoM: x=13.1604629437, y=-2.94811647396, z=39.9458573498
[INFO] [1729841850.650835]: Projected CoM on the ground: x=13.1604629437, y=-2.94811647396, z=0
[INFO] [1729841850.651048]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841850.651243]: Calculated Dynamic ZMP: x=52.5812227923, y=-14.6660030216
[INFO] [1729841850.651600]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841850.751564]: Calculated Dynamic CoM: x=0.0508203638142, y=-2.13813689899, z=42.0647714037
[INFO] [1729841850.751898]: Projected CoM on the ground: x=0.0508203638142, y=-2.13813689899, z=0
[INFO] [1729841850.752128]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841850.752321]: Calculated Dynamic ZMP: x=-37.7399309561, y=-29.8173497122
[INFO] [1729841850.752864]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841850.850357]: Calculated Dynamic CoM: x=12.579387358, y=0.449624306135, z=40.1509404615
[INFO] [1729841850.850621]: Projected CoM on the ground: x=12.579387358, y=0.449624306135, z=0
[INFO] [1729841850.850784]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841850.850923]: Calculated Dynamic ZMP: x=50.1603488281, y=44.0760040036
[INFO] [1729841850.851120]: Support Phase: Single Support, Area: 112.155, Perimeter: 33.6502654007
[INFO] [1729841850.950088]: Calculated Dynamic CoM: x=13.2225399354, y=-2.18597538855, z=39.8573751614
[INFO] [1729841850.950366]: Projected CoM on the ground: x=13.2225399354, y=-2.18597538855, z=0
[INFO] [1729841850.950566]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841850.950772]: Calculated Dynamic ZMP: x=66.9321336891, y=-2.93433622903
[INFO] [1729841850.951012]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841851.051413]: Calculated Dynamic CoM: x=0.756271413084, y=-2.14242634052, z=41.9709924687
[INFO] [1729841851.052021]: Projected CoM on the ground: x=0.756271413084, y=-2.14242634052, z=0
[INFO] [1729841851.052581]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841851.052939]: Calculated Dynamic ZMP: x=-30.4031118331, y=-8.13865834029
[INFO] [1729841851.053200]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841851.150685]: Calculated Dynamic CoM: x=8.99500637175, y=-2.62085544942, z=40.9675807925
[INFO] [1729841851.151245]: Projected CoM on the ground: x=8.99500637175, y=-2.62085544942, z=0
[INFO] [1729841851.151462]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841851.151595]: Calculated Dynamic ZMP: x=34.1912525681, y=-16.4680089732
[INFO] [1729841851.151810]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841851.250159]: Calculated Dynamic CoM: x=14.6815669386, y=-2.21847066055, z=39.3355550582
[INFO] [1729841851.250451]: Projected CoM on the ground: x=14.6815669386, y=-2.21847066055, z=0
[INFO] [1729841851.250641]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841851.250775]: Calculated Dynamic ZMP: x=58.9565346941, y=-2.9242648288
[INFO] [1729841851.250960]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841851.350735]: Calculated Dynamic CoM: x=3.00661240894, y=-2.08446756647, z=41.9062543499
[INFO] [1729841851.351183]: Projected CoM on the ground: x=3.00661240894, y=-2.08446756647, z=0
[INFO] [1729841851.351691]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841851.352657]: Calculated Dynamic ZMP: x=-13.642867838, y=2.80658584977
[INFO] [1729841851.353215]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841851.450205]: Calculated Dynamic CoM: x=16.0258997055, y=0.742109840002, z=38.9063789726
[INFO] [1729841851.450734]: Projected CoM on the ground: x=16.0258997055, y=0.742109840002, z=0
[INFO] [1729841851.450945]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841851.451116]: Calculated Dynamic ZMP: x=69.8297220902, y=36.6629402934
[INFO] [1729841851.451343]: Support Phase: Single Support, Area: 112.155, Perimeter: 33.6502654007
[INFO] [1729841851.550183]: Calculated Dynamic CoM: x=16.0359608177, y=-2.34133722895, z=38.8731360033
[INFO] [1729841851.550460]: Projected CoM on the ground: x=16.0359608177, y=-2.34133722895, z=0
[INFO] [1729841851.550657]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841851.550824]: Calculated Dynamic ZMP: x=82.1621240134, y=-5.10219400873
[INFO] [1729841851.551051]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841851.650552]: Calculated Dynamic CoM: x=0.461852184876, y=-2.22691081616, z=42.0795613727
[INFO] [1729841851.650847]: Projected CoM on the ground: x=0.461852184876, y=-2.22691081616, z=0
[INFO] [1729841851.651041]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841851.651222]: Calculated Dynamic ZMP: x=-29.4768471395, y=-47.3577652281
[INFO] [1729841851.651475]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841851.750437]: Calculated Dynamic CoM: x=10.6726386293, y=-4.03092684003, z=40.5765862837
[INFO] [1729841851.750732]: Projected CoM on the ground: x=10.6726386293, y=-4.03092684003, z=0
[INFO] [1729841851.750961]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841851.751405]: Calculated Dynamic ZMP: x=45.4184827213, y=-44.3394227652
[INFO] [1729841851.751933]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841851.850330]: Calculated Dynamic CoM: x=12.5340088262, y=-2.93017171707, z=40.1431432821
[INFO] [1729841851.850617]: Projected CoM on the ground: x=12.5340088262, y=-2.93017171707, z=0
[INFO] [1729841851.850811]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841851.850979]: Calculated Dynamic ZMP: x=52.3167239099, y=-16.1660602835
[INFO] [1729841851.851220]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841851.950185]: Calculated Dynamic CoM: x=-2.98471935273, y=-2.06654796641, z=41.9737465305
[INFO] [1729841851.950472]: Projected CoM on the ground: x=-2.98471935273, y=-2.06654796641, z=0
[INFO] [1729841851.950675]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841851.950891]: Calculated Dynamic ZMP: x=-50.0800500322, y=-6.33910951461
[INFO] [1729841851.951152]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841852.050140]: Calculated Dynamic CoM: x=5.71917117127, y=-1.72570355218, z=41.6655908532
[INFO] [1729841852.050407]: Projected CoM on the ground: x=5.71917117127, y=-1.72570355218, z=0
[INFO] [1729841852.050602]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841852.050773]: Calculated Dynamic ZMP: x=7.4300718728, y=12.4674215474
[INFO] [1729841852.051010]: Support Phase: Single Support, Area: 112.155, Perimeter: 33.6502654007
[INFO] [1729841852.150152]: Calculated Dynamic CoM: x=20.1737435477, y=-3.32554377895, z=36.7550623371
[INFO] [1729841852.150422]: Projected CoM on the ground: x=20.1737435477, y=-3.32554377895, z=0
[INFO] [1729841852.150617]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841852.150793]: Calculated Dynamic ZMP: x=108.081859549, y=-15.8398619227
[INFO] [1729841852.151012]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841852.250135]: Calculated Dynamic CoM: x=2.60192700413, y=-2.45976801044, z=41.8747795092
[INFO] [1729841852.250429]: Projected CoM on the ground: x=2.60192700413, y=-2.45976801044, z=0
[INFO] [1729841852.250611]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841852.250742]: Calculated Dynamic ZMP: x=-12.6240161438, y=-35.769939126
[INFO] [1729841852.250929]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841852.350172]: Calculated Dynamic CoM: x=7.4968861913, y=-1.72931410319, z=41.2918148379
[INFO] [1729841852.350460]: Projected CoM on the ground: x=7.4968861913, y=-1.72931410319, z=0
[INFO] [1729841852.350678]: Calculated Moments: Mx=0.0331578, My=0.0509801175
[INFO] [1729841852.350876]: Calculated Dynamic ZMP: x=18.7026969318, y=10.011225863
