[INFO] [1729841850.242072]: Waiting for sensor data...
[INFO] [1729841850.342420]: Calculated Dynamic CoM: x=5.38731061042, y=-1.03342753385, z=25.4235437457
[INFO] [1729841850.342678]: Projected CoM on the ground: x=5.38731061042, y=-1.03342753385, z=0
[INFO] [1729841850.342841]: Calculated Moments: Mx=0.6037074, My=0.9282001275
[INFO] [1729841850.342983]: Calculated Dynamic ZMP: x=7.31960039464, y=-1.0698055721
[INFO] [1729841850.343247]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841850.442837]: Calculated Dynamic CoM: x=-4.53867689944, y=-0.492187465539, z=25.5915064619
[INFO] [1729841850.443353]: Projected CoM on the ground: x=-4.53867689944, y=-0.492187465539, z=0
[INFO] [1729841850.443478]: Calculated Moments: Mx=0.6037074, My=0.9282001275
[INFO] [1729841850.443594]: Calculated Dynamic ZMP: x=-6.03412428412, y=-1.44818762773
[INFO] [1729841850.443782]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841850.542393]: Calculated Dynamic CoM: x=2.62140055733, y=-1.20814402962, z=25.7988539719
[INFO] [1729841850.542606]: Projected CoM on the ground: x=2.62140055733, y=-1.20814402962, z=0
[INFO] [1729841850.542723]: Calculated Moments: Mx=0.6037074, My=0.9282001275
[INFO] [1729841850.542821]: Calculated Dynamic ZMP: x=3.48997460251, y=-1.83021946938
[INFO] [1729841850.542987]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841850.642475]: Calculated Dynamic CoM: x=5.32288939463, y=-1.28812149096, z=25.3686267953
[INFO] [1729841850.642876]: Projected CoM on the ground: x=5.32288939463, y=-1.28812149096, z=0
[INFO] [1729841850.643115]: Calculated Moments: Mx=0.6037074, My=0.9282001275
[INFO] [1729841850.643329]: Calculated Dynamic ZMP: x=6.78269133831, y=-1.63947938533
[INFO] [1729841850.643652]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841850.742364]: Calculated Dynamic CoM: x=-2.21560836776, y=-1.02126516512, z=25.8088257865
[INFO] [1729841850.742656]: Projected CoM on the ground: x=-2.21560836776, y=-1.02126516512, z=0
[INFO] [1729841850.742856]: Calculated Moments: Mx=0.6037074, My=0.9282001275
[INFO] [1729841850.743033]: Calculated Dynamic ZMP: x=-3.05342296215, y=-0.918536964556
[INFO] [1729841850.743296]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841850.842341]: Calculated Dynamic CoM: x=3.84782646467, y=-0.277601275154, z=25.6597141703
[INFO] [1729841850.842659]: Projected CoM on the ground: x=3.84782646467, y=-0.277601275154, z=0
[INFO] [1729841850.842846]: Calculated Moments: Mx=0.6037074, My=0.9282001275
[INFO] [1729841850.842980]: Calculated Dynamic ZMP: x=4.84365307144, y=1.0434674266
[INFO] [1729841850.843185]: Support Phase: Single Support, Area: 112.155, Perimeter: 33.6502654007
[INFO] [1729841850.942312]: Calculated Dynamic CoM: x=6.73620152691, y=-1.07349553198, z=25.059115952
[INFO] [1729841850.942669]: Projected CoM on the ground: x=6.73620152691, y=-1.07349553198, z=0
[INFO] [1729841850.942872]: Calculated Moments: Mx=0.6037074, My=0.9282001275
[INFO] [1729841850.943046]: Calculated Dynamic ZMP: x=9.10396462482, y=-1.15016082396
[INFO] [1729841850.943248]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841851.042267]: Calculated Dynamic CoM: x=-3.55607967887, y=-0.936010951677, z=25.7535570279
[INFO] [1729841851.042562]: Projected CoM on the ground: x=-3.55607967887, y=-0.936010951677, z=0
[INFO] [1729841851.042768]: Calculated Moments: Mx=0.6037074, My=0.9282001275
[INFO] [1729841851.042964]: Calculated Dynamic ZMP: x=-4.95616061318, y=-1.10919842534
[INFO] [1729841851.043220]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841851.142514]: Calculated Dynamic CoM: x=1.64908128333, y=-1.04907356292, z=25.9558556537
[INFO] [1729841851.142814]: Projected CoM on the ground: x=1.64908128333, y=-1.04907356292, z=0
[INFO] [1729841851.143041]: Calculated Moments: Mx=0.6037074, My=0.9282001275
[INFO] [1729841851.143200]: Calculated Dynamic ZMP: x=2.18545139635, y=-1.26693849464
[INFO] [1729841851.144032]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841851.242347]: Calculated Dynamic CoM: x=6.24944801917, y=-1.14710498163, z=25.2565349648
[INFO] [1729841851.242616]: Projected CoM on the ground: x=6.24944801917, y=-1.14710498163, z=0
[INFO] [1729841851.242777]: Calculated Moments: Mx=0.6037074, My=0.9282001275
[INFO] [1729841851.242914]: Calculated Dynamic ZMP: x=7.98477791355, y=-1.29256244694
[INFO] [1729841851.243124]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841851.342441]: Calculated Dynamic CoM: x=-1.62455617878, y=-0.924472798648, z=25.9540387672
[INFO] [1729841851.342729]: Projected CoM on the ground: x=-1.62455617878, y=-0.924472798648, z=0
[INFO] [1729841851.342928]: Calculated Moments: Mx=0.6037074, My=0.9282001275
[INFO] [1729841851.343128]: Calculated Dynamic ZMP: x=-2.19368406346, y=-1.3630254119
[INFO] [1729841851.343385]: Support Phase: Double Support, Area: 229.33, Perimeter: 42.7076809621
[INFO] [1729841851.442561]: Calculated Dynamic CoM: x=6.31699145946, y=-0.142522334749, z=25.2407323139
[INFO] [1729841851.443352]: Projected CoM on the ground: x=6.31699145946, y=-0.142522334749, z=0
[INFO] [1729841851.443905]: Calculated Moments: Mx=0.6037074, My=0.9282001275
[INFO] [1729841851.444449]: Calculated Dynamic ZMP: x=8.11794728876, y=0.867431176853
[INFO] [1729841851.445013]: Support Phase: Single Support, Area: 112.155, Perimeter: 33.6502654007
